timestamp,ncar/iwrf,ncar/iwrf-metplus,ncar/iwrf-data
2026-04-03,703,124,156
2026-04-05,707,124,156
2026-04-12,731,138,184
2026-04-19,734,143,191
2026-04-26,737,147,194
2026-05-04,753,155,202
2026-05-11,783,181,215
2026-05-18,787,183,217
2026-05-25,819,189,223
2026-06-01,846,190,230
2026-06-08,855,190,230
2026-06-15,905,213,251
2026-06-22,910,213,251
2026-06-29,917,216,301
2026-07-06,923,222,314
2026-07-13,1604,857,316
2026-07-27,17754,17062,365
2026-08-03,23369,22767,376
2026-08-09,25114,24397,382
2026-08-16,29110,26784,4619
2026-08-23,29667,27123,5214
2026-08-30,29678,27125,5222
